Podcast Name,Host Name(s),Tier,Estimated Audience,Contact Method,Contact Info,Recent Episode Topics,Guest Caliber,Why Tim Is a Fit,Pitch Angle,Audience Alignment (1-5),Guest Caliber Match (1-5),Recency & Activity (1-5),Accessibility (1-5),Overall Score,Source URL,Conflict Flag,Notes
Factor This,John Engel / Paul Gerke,1,Large (trade media audience),Email / LinkedIn,Contact via renewableenergyworld.com editorial; LinkedIn: Paul Gerke,"Solar tariffs; utility CEO interviews; battery storage; energy policy; residential solar reality","TJ Rodgers (SolarCity/SunPower CEO); Form Energy CEO Mateo Jaramillo; REV Renewables SVP","Tim is an operator and thought leader in C&I solar and storage — exactly the lens this show covers; 500+ episodes gives him host-level credibility","C&I solar as the untapped opportunity; energy resilience & microgrids; lessons from 500+ CEO interviews",5,4,5,4,18,https://www.renewableenergyworld.com/podcasts/,,Active and well-resourced trade media show; pitch through editorial team
SunCast,Nico Johnson,1,"Large (800+ episodes, established audience)",Contact Form,https://www.suncast.media/contact,"Rooftop solar; battery storage; solar finance; cleantech entrepreneurs; EV and hydrogen","Tesla execs; SolarCity founders; Meyer Burger leaders; Trina Solar; US Government officials","Tim is a direct peer of Nico — both run top-10 independent clean energy podcasts. Cross-pollination opportunity. Strong audience overlap.",Cross-promotion framing: peer-to-peer interview on C&I solar and energy resilience; Tim's AI consulting angle is differentiated,5,5,5,5,20,https://www.suncast.media/contact,COMPETITOR FLAG — Direct competitor to Clean Power Hour. Confirm with Tim before pitching. May be better as a collaboration/cross-promo conversation.,"Flag for Tim: SunCast is the closest direct comp. Could be a win as a peer interview (mutual promotion) but needs Tim's sign-off. Nico's LinkedIn: https://www.linkedin.com/in/nickalus"
Good Energy (SEIA),SEIA Team,1,Large (industry association reach),Website / Sponsorship,https://seia.org/podcast/,"Solar policy; industry growth trends; storage deployment; federal incentives; supply chain","SEIA member companies; policy advocates; industry executives","SEIA audience is Tim's target customer base — solar developers, EPCs, and policymakers. Tim's C&I angle and AI consulting are highly relevant.",C&I solar market opportunity; policy impact on business operations; AI adoption in solar companies,5,4,4,3,16,https://seia.org/podcast/,,SEIA podcast is more policy/association focused; Tim's operator lens is a differentiator
Interchange Recharged,Sylvia Leyva Martinez,1,Mid-Large (Wood Mackenzie research audience),Email,podcasts@woodmac.com,"Renewable technology trends; energy policy; utility-scale storage; grid modernization; cleantech investment","Energy analysts; utility executives; policy makers; investors","Wood Mackenzie audience overlaps with Tim's C&I solar and storage expertise; his boots-on-the-ground perspective complements their data-driven approach","Energy resilience business models; C&I solar economics; microgrid market trends; AI adoption in energy",4,4,5,5,18,https://www.woodmac.com/podcasts/,,Direct email available: podcasts@woodmac.com — high accessibility
Energy Gang,Ed Crooks,1,Large (Wood Mackenzie flagship podcast),Email,podcasts@woodmac.com,"2025 energy year in review; grid modernization; energy transition; policy and investment","Amy Myers-Jaffe (NYU); Dr. Melissa Lott (Microsoft Partner); utility CEOs","Wide energy transition coverage — Tim brings practitioner business perspective that complements their analyst and academic guests","Energy transition from an operator's perspective; C&I solar and storage as the execution layer of the transition",4,4,5,5,18,https://www.woodmac.com/podcasts/the-energy-gang/,,Same contact as Interchange Recharged — can pitch both in same email
Microgrid Minute(s),AJ Perkins,1,Small-Mid (emerging show),Spotify / Direct outreach,https://open.spotify.com/show/234HuwNz8iZrEmRYx0Jnoo,"Community energy resilience; microgrid deployment; energy independence for municipalities","Community energy leaders; local government officials; businesses","Tim is writing a book on energy resilience and microgrids — perfect alignment with the show's core topic. His C&I perspective adds depth.",Energy resilience for businesses; microgrid economics and deployment; what's driving the microgrid boom in 2025-2026,5,3,4,3,15,https://open.spotify.com/show/234HuwNz8iZrEmRYx0Jnoo,,Smaller show but perfect topic alignment; contact via Spotify or LinkedIn
Catalyst with Shayle Kann,Shayle Kann,1,Large (Canary Media / climate tech investors),"Contact form / LinkedIn","Via Canary Media or Post Script Media; Shayle Kann LinkedIn","Climate tech investment; clean steel/cement; carbon capture; AI and climate; energy storage economics","DNV; prominent climate tech VCs; energy system researchers","Tim brings a market-reality perspective to counter VC hype — he's built businesses in the real energy economy. His AI consulting angle is timely given the show's interest in AI and climate.",Real-world state of AI adoption in clean energy; C&I solar and storage as de-risked climate solutions; what actually gets deployed vs. what gets funded,4,4,5,3,16,https://podcasts.apple.com/gb/podcast/catalyst-with-shayle-kann/id1593204897,,High-profile show; position Tim as the operator counterpoint to VC/investor guests
Everyday AI,Jordan Wilson,2,Large (Top 15 Tech Podcast on Spotify — 225K downloads/month),Pitch Form,https://www.youreverydayai.com/pitch/,"GenAI for business; AI tools and workflows; AI adoption for decision-makers; AI strategy for mid-career professionals","Business executives; GenAI startup founders; AI practitioners","Tim is a WSI-Certified AI Consultant with hands-on AI adoption experience in the solar/energy sector — a specific vertical with real urgency. His operator background differentiates him from typical AI guests.","AI adoption in clean energy — practical tools and workflows driving revenue; how a niche B2B company (solar/energy) uses AI to scale; AI for non-tech operators",4,3,5,5,17,https://www.youreverydayai.com/pitch/,,"Highly accessible (pitch form). Competitive — they reject 95%+ of pitches. Lead with Tim's specific AI use cases in energy, not generic AI expertise."
Leveraging AI,Isar Meitis,2,Mid (growing AI business podcast),Website / LinkedIn,https://multiplai.ai/podcast/,"Practical AI for non-technical business owners; AI tools for growth; AI ethics; AI strategy","Serial entrepreneurs; business leaders; AI practitioners","Isar focuses on practical AI for business operators — Tim's clean energy AI consulting work is a specific, timely vertical case study.","AI adoption in a niche B2B industry (clean energy); practical workflows Tim uses with solar EPCs; how to implement AI without a tech team",4,3,5,4,16,https://multiplai.ai/podcast/,,Good fit for Template B pitch; Tim's practitioner angle is strong here
AI in Business (Emerj),Daniel Fagella,2,Large (millions of downloads; Fortune 2000 audience),Guest Application,https://go.emerj.com/expert,"AI for Fortune 2000; AI ROI frameworks; B2B AI use cases; AI strategy and revenue","Fortune 2000 AI executives; startup founders; AI researchers","Emerj targets non-technical business leaders — Tim's AI consulting in clean energy is a real-world case study for AI ROI in a regulated industry.","AI ROI in the energy sector; practical AI frameworks for EPCs and solar developers; field-based insights and efficiency gains",3,3,5,5,16,https://emerj.com/artificial-intelligence-podcast/,,"Niche fit — Tim's energy angle may be too vertical for their Fortune 2000 focus. Worth pitching but position carefully. Direct application at go.emerj.com/expert"
Sean White's Solar and Energy Storage Podcast,Sean White,1,Mid (established solar education audience),Podbean / Direct,https://whitehousesolar.podbean.com/,"Utility-scale solar engineering; battery storage technology; solar trade and tariffs; technical solar topics","Solar engineers; NABCEP professionals; solar developers; EPCs","Tim is NABCEP certified and shares an audience with Sean White — both serve solar professionals. Tim's C&I sales and business strategy angle complements Sean's technical content.",C&I solar business strategy and sales; energy storage economics for developers; AI tools for solar professionals,5,4,4,3,16,https://whitehousesolar.podbean.com/,,Direct peer in solar education space; Tim's NABCEP credential is a strong credential match
Grid Forward Chats,Cameron Brooks (guest host),2,Small-Mid (grid modernization niche),Website,https://gridforward.org/resources/podcasts-presentations/,"Microgrid expansion; grid modernization; DER; energy resilience","General Microgrids and Hitachi Energy leaders; grid modernization professionals","Strong microgrid alignment — Tim's upcoming book on energy resilience is perfectly timed for this audience.","Microgrid business models for C&I customers; what's driving the microgrid boom; energy resilience strategy",4,3,4,3,14,https://gridforward.org/resources/podcasts-presentations/,,Season 6 expected in 2025-2026; worth monitoring for timing
The B2B Playbook,George / Kevin,2,Mid (B2B marketing audience),LinkedIn / Website,https://theb2bplaybook.com/listen-to-the-b2b-playbook,"B2B marketing strategy; pipeline generation; go-to-market; B2B content strategy","B2B marketers; startup founders; revenue leaders","Tim built Clean Power Hour as a B2B demand gen engine for his consulting firm — that's exactly the story this audience wants. His niche industry (clean energy) makes the case study compelling.","How Tim built a top-10 industry podcast as a business development engine; B2B content strategy in a niche technical market; the ROI of thought leadership in clean energy",3,3,5,4,15,https://theb2bplaybook.com/listen-to-the-b2b-playbook,,Template B pitch; emphasize the media platform as demand gen angle — not the clean energy expertise
